iter	Logloss
0	0.6895734049
1	0.6861468955
2	0.6825280698
3	0.6790938905
4	0.6761248942
5	0.6731414564
6	0.6701505623
7	0.6668719426
8	0.6636076031
9	0.6611389295
10	0.6581807868
11	0.655032458
12	0.6525064631
13	0.6491522941
14	0.6460361292
15	0.6431640356
16	0.6403042719
17	0.6374016746
18	0.6343810854
19	0.6314754712
20	0.6288461967
21	0.6259085349
22	0.6233609047
23	0.6205443996
24	0.6174724261
25	0.6145525583
26	0.6115588026
27	0.6087228833
28	0.6060775931
29	0.6036022353
30	0.601367132
31	0.5985477364
32	0.5959505268
33	0.5934447628
34	0.5905654689
35	0.5885325658
36	0.5863258594
37	0.5837925953
38	0.5812485201
39	0.5786734062
40	0.5760885474
41	0.5733653073
42	0.5716852239
43	0.5693741577
44	0.5671303315
45	0.5649128803
46	0.562644111
47	0.5605179863
48	0.558102686
49	0.5555850025
50	0.5536976919
51	0.5517731842
52	0.5492218109
53	0.5469380591
54	0.5442997428
55	0.5423236367
56	0.5403004459
57	0.5378445456
58	0.5355754174
59	0.5336465832
60	0.531435522
61	0.5292977281
62	0.5272839387
63	0.5257433338
64	0.5237672006
65	0.5215994436
66	0.5194709114
67	0.5172882399
68	0.5152443293
69	0.5134111249
70	0.5115687417
71	0.5096795978
72	0.5076518457
73	0.505476952
74	0.5036204803
75	0.5015905238
76	0.4996986096
77	0.4979942577
78	0.496211105
79	0.4943130101
80	0.4926906473
81	0.4908874174
82	0.4890613248
83	0.48720646
84	0.4856156913
85	0.4836916546
86	0.4818513945
87	0.4802315678
88	0.4783993058
89	0.4765060232
90	0.4746543635
91	0.4729852736
92	0.4713279195
93	0.4700285047
94	0.468401292
95	0.4668188141
96	0.4656761415
97	0.4639988838
98	0.4626265052
99	0.46094389
100	0.4595440218
101	0.4577691099
102	0.4563808556
103	0.4548808825
104	0.4535556618
105	0.4519143742
106	0.4502439157
107	0.4488432805
108	0.4474284034
109	0.4458970929
110	0.444389717
111	0.4430380907
112	0.4421004293
113	0.4408907643
114	0.4394738684
115	0.4378902664
116	0.4369412054
117	0.4356362778
118	0.434743694
119	0.4334606968
120	0.4322194915
121	0.4309309898
122	0.4297696645
123	0.4283215822
124	0.4268404836
125	0.4256726715
126	0.4247013902
127	0.4234274985
128	0.4219554877
129	0.4207927315
130	0.4199769101
131	0.4189124588
132	0.4176409351
133	0.4164449586
134	0.4152269135
135	0.4140375798
136	0.4130209836
137	0.4121840244
138	0.4111100426
139	0.4098649943
140	0.4086663814
141	0.4076404358
142	0.4066906962
143	0.4054621682
144	0.4041508208
145	0.4031023977
146	0.401992778
147	0.401045093
148	0.3999560827
149	0.3991028439
150	0.3982163643
151	0.3972186279
152	0.3961695453
153	0.3950729111
154	0.3940075355
155	0.3930692909
156	0.3923505987
157	0.3914462801
158	0.3903632272
159	0.3892176802
160	0.3880257153
161	0.3868906619
162	0.3861098865
163	0.3852353508
164	0.3842067955
165	0.3834238278
166	0.3826582755
167	0.3816797546
168	0.3805983062
169	0.3796575816
170	0.378981698
171	0.3780544672
172	0.3771458111
173	0.3763320708
174	0.3756132026
175	0.3746214195
176	0.3738001815
177	0.3731948603
178	0.3725075011
179	0.3715302088
180	0.370640969
181	0.3696768135
182	0.3691965485
183	0.3687128242
184	0.3676565062
185	0.3667671753
186	0.3659262144
187	0.3651455825
188	0.3644228242
189	0.36348861
190	0.3627870148
191	0.3621183498
192	0.3612426267
193	0.3604062709
194	0.3598325425
195	0.3590600642
196	0.3582223015
197	0.3573026785
198	0.3566247305
199	0.3559033325
200	0.3550521342
201	0.3541841458
202	0.353491891
203	0.3527060848
204	0.3520508715
205	0.3511186528
206	0.3504820993
207	0.3498471756
208	0.3492354824
209	0.3485157457
210	0.3477458314
211	0.3471587741
212	0.3465257458
213	0.3458089826
214	0.3452233986
215	0.3444157796
216	0.3439517583
217	0.3434195713
218	0.3426634908
219	0.3418138262
220	0.3412008347
221	0.340482754
222	0.3399998125
223	0.3394023278
224	0.338792944
225	0.3383102843
226	0.3375324751
227	0.3367526539
228	0.3360876447
229	0.3353091612
230	0.3345872904
231	0.3339209902
232	0.3333231132
233	0.3325994269
234	0.3319828938
